Samples,CN1,CN2,CN6,CN7,CN8,CN9,CN17,empty
PD53330c,42,0,0,0,0,74,0,0
PD53331a,0,0,0,0,0,0,0,100
PD53332d,0,47,0,69,0,0,46,0
PD53332e,49,0,0,0,0,41,0,0
PD53333f,0,66,90,0,0,0,47,0
PD53334a,33,0,0,42,0,60,0,0
PD53337a,0,0,0,0,0,0,0,100
PD53338a,18,0,0,0,61,61,50,0
PD53339a,0,0,0,0,0,0,0,100
PD53341a,0,0,0,0,0,0,0,100
PD53342a,27,0,0,0,40,100,0,0
PD53343h,29,0,0,0,0,31,25,0
PD53343i,27,0,31,0,0,47,0,0
PD53345a,0,53,45,0,75,0,0,0
PD53346a,0,0,0,0,0,0,0,100
PD53347c,0,0,0,150,0,0,111,0
PD53348a,20,0,0,40,0,113,0,0
PD53349d,0,52,0,0,49,0,56,0
PD53349e,0,50,0,0,37,0,47,0
PD53350d,0,64,0,64,62,0,0,0
PD53350e,0,70,0,117,0,0,0,0
PD53351a,0,0,80,144,0,0,145,0
PD53352d,0,63,28,0,0,0,47,0
PD53352e,0,66,66,0,0,0,46,0
PD53354a,33,0,0,0,0,69,0,0
PD53355c,0,47,0,0,73,0,36,0
PD53357c,0,49,0,32,0,0,43,0
PD53357d,0,47,38,45,0,0,51,0
PD53357e,0,50,24,0,38,0,50,0
PD53358a,27,0,0,0,0,139,0,0
PD53359c,0,43,0,0,49,0,94,0
PD53361a,33,0,0,31,0,60,0,0
PD53362a,0,44,0,0,0,0,63,0
PD53363a,0,0,0,0,0,0,0,100
PD53364c,0,0,67,68,0,0,117,0
PD53365a,0,50,49,0,67,0,64,0
PD53366a,0,0,0,0,0,0,0,100
PD53367a,0,0,0,0,0,0,0,100
PD53368a,0,47,0,83,0,0,128,0
PD53369a,33,0,0,36,0,49,0,0
