Samples	SBS1	SBS5	SBS7a	SBS7b	SBS38
PD53330c	5	32	0	13	0
PD53331a	0	6	0	0	0
PD53332d	16	76	0	0	0
PD53332e	1	3	0	5	0
PD53333f	3	23	0	0	0
PD53334a	2	19	0	7	0
PD53337a	6	36	9	9	0
PD53337c	8	37	0	23	0
PD53338a	18	50	0	0	0
PD53339a	2	10	0	0	0
PD53341a	9	29	8	0	8
PD53342a	10	26	0	0	14
PD53343h	8	51	26	16	0
PD53343i	13	60	29	11	0
PD53345a	14	37	0	18	0
PD53346a	18	61	26	75	0
PD53347c	15	84	28	36	38
PD53348a	17	50	12	11	0
PD53349d	33	125	0	0	0
PD53349e	20	93	0	0	0
PD53350d	8	75	0	0	14
PD53350e	10	86	0	0	0
PD53351a	16	56	13	0	0
PD53352d	10	35	0	0	0
PD53352e	13	34	0	0	0
PD53353a	19	30	0	0	0
PD53354a	5	23	0	0	0
PD53355c	10	35	0	0	0
PD53357c	12	41	0	0	0
PD53357d	9	38	15	0	0
PD53357e	7	45	17	0	0
PD53358a	23	51	0	20	0
PD53359c	11	124	0	0	0
PD53361a	8	16	0	0	0
PD53362a	19	25	6	7	9
PD53363a	0	6	0	4	0
PD53364c	10	3	7	5	7
PD53365a	5	17	4	0	0
PD53366a	9	34	0	0	0
PD53367a	10	46	0	20	0
PD53368a	18	34	24	35	0
PD53369a	22	17	8	0	0
