"","Tumor_Sample_Barcode","Deletion_Status"
"1","PD53333f","RAD51_TP53BP1_del"
"2","PD53338a","RAD51_TP53BP1_del"
"3","PD53347c","RAD51_TP53BP1_del"
"4","PD53348a","RAD51_TP53BP1_del"
"5","PD53350d","RAD51_TP53BP1_del"
"6","PD53351a","RAD51_TP53BP1_del"
"7","PD53352d","RAD51_TP53BP1_del"
"8","PD53354a","RAD51_TP53BP1_del"
"9","PD53355c","RAD51_TP53BP1_del"
"10","PD53358a","RAD51_TP53BP1_del"
"11","PD53361a","RAD51_TP53BP1_del"
"12","PD53364c","RAD51_TP53BP1_del"
"13","PD53365a","RAD51_TP53BP1_del"
"14","PD53368a","RAD51_TP53BP1_del"
"15","PD53330c","NO_RAD51_TP53BP1_del"
"16","PD53332d","NO_RAD51_TP53BP1_del"
"17","PD53334a","NO_RAD51_TP53BP1_del"
"18","PD53337c","NO_RAD51_TP53BP1_del"
"19","PD53342a","NO_RAD51_TP53BP1_del"
"20","PD53343h","NO_RAD51_TP53BP1_del"
"21","PD53345a","NO_RAD51_TP53BP1_del"
"22","PD53349d","NO_RAD51_TP53BP1_del"
"23","PD53357c","NO_RAD51_TP53BP1_del"
"24","PD53359c","NO_RAD51_TP53BP1_del"
"25","PD53362a","NO_RAD51_TP53BP1_del"
"26","PD53369a","NO_RAD51_TP53BP1_del"
