"Tumor","PDX","Correlacao"
"AM004","AM004-X1",0.860406325310366
"AM006","AM006-X1",0.716384717143393
"AM022a-X1","AM022b",0.588345392955517
"AM025a-X1","AM025b",0.558211697830136
"AM015b","AM015b-X1",0.553180984829549
"AM001","AM001-X1",0.499386163983449
"AM007","AM007-X1",0.47990599471555
"AM021a-X1","AM021b",0.194999692599385
"AM003a","AM003a-X1",0.134116754986906
"AM032b-X1","AM034",0.00182618850627666
"AM022b-X1","AM025a",-0.0991164321305765
"AM034-X1","AM045",-0.115126447726178
"AM025b-X1","AM029",-0.118622458590663
"AM019-X1","AM021a",-0.162081921396886
"AM029-X1","AM031",-0.171739884629176
"AM031-X1","AM032b",-0.180428158398945
"AM021b-X1","AM022a",-0.271770461555103
