"","Regiao","P_Value_FCS","Adjusted_P_Value_FCS","P_Value_BCS","Adjusted_P_Value_BCS"
"1","5p",0.671065907355317,0.75938423238719,0.711712694058608,0.790791882287342
"2","6p",0.357550205756267,0.715100411512533,0.475330956173268,0.679044223104669
"3","11q",0.00712780367878759,0.035639018393938,0.372768674531603,0.621281124219338
"4","12q",0.683445809148471,0.75938423238719,0.628482731856669,0.785603414820837
"5","19q",0.581616577205256,0.75938423238719,0.174459468081777,0.436148670204442
"6","21q",0.51491010065138,0.75938423238719,0.290861980105666,0.581723960211332
"7","7p",0.341213460653976,0.715100411512533,0.159039273517697,0.436148670204442
"8","22q",0.00644871719325985,0.035639018393938,0.0832303492778639,0.436148670204442
"9","4q",0.763750754928008,0.763750754928008,0.880062200903546,0.880062200903546
"10","10p",0.229272013938592,0.715100411512533,0.096955897690167,0.436148670204442
