Sample	Gene	Alteration	Copy_number
PD53330c	CCND1	Neutral	2
PD53330c	CDK4	Neutral	2
PD53330c	CRKL	Neutral	2
PD53330c	EP300	Neutral	2
PD53330c	GAB2	Neutral	2
PD53330c	LZTR1	Neutral	2
PD53330c	MDM2	Neutral	2
PD53330c	PAK1	Neutral	2
PD53330c	PRAME	Neutral	2
PD53330c	SOX10	Neutral	2
PD53330c	TERT	Neutral	2
PD53332d	CCND1	Amp	10
PD53332d	CDK4	Neutral	4
PD53332d	CRKL	Gain	6
PD53332d	EP300	Gain	6
PD53332d	GAB2	Amp	17
PD53332d	LZTR1	Gain	6
PD53332d	MDM2	Neutral	4
PD53332d	PAK1	Amp	17
PD53332d	PRAME	Gain	6
PD53332d	SOX10	Gain	6
PD53332d	TERT	Amp	12
PD53333f	CCND1	Neutral	4
PD53333f	CDK4	Amp	12
PD53333f	CRKL	Neutral	4
PD53333f	EP300	Neutral	4
PD53333f	GAB2	Neutral	4
PD53333f	LZTR1	Neutral	4
PD53333f	MDM2	Amp	20
PD53333f	PAK1	Neutral	4
PD53333f	PRAME	Neutral	4
PD53333f	SOX10	Neutral	4
PD53333f	TERT	Neutral	4
PD53334a	CCND1	Neutral	2
PD53334a	CDK4	Amp	7
PD53334a	CRKL	Neutral	2
PD53334a	EP300	Neutral	2
PD53334a	GAB2	Neutral	2
PD53334a	LZTR1	Neutral	2
PD53334a	MDM2	Neutral	2
PD53334a	PAK1	Neutral	2
PD53334a	PRAME	Neutral	2
PD53334a	SOX10	Neutral	2
PD53334a	TERT	Neutral	2
PD53337a	CCND1	Neutral	2
PD53337a	CDK4	Neutral	2
PD53337a	CRKL	Neutral	2
PD53337a	EP300	Neutral	2
PD53337a	GAB2	Neutral	2
PD53337a	LZTR1	Neutral	2
PD53337a	MDM2	Neutral	2
PD53337a	PAK1	Neutral	2
PD53337a	PRAME	Neutral	2
PD53337a	SOX10	Neutral	2
PD53337a	TERT	Neutral	2
PD53338a	CCND1	Amp	15
PD53338a	CDK4	Neutral	2
PD53338a	CRKL	Gain	3
PD53338a	EP300	Gain	3
PD53338a	GAB2	Amp	17
PD53338a	LZTR1	Gain	3
PD53338a	MDM2	Neutral	2
PD53338a	PAK1	Amp	17
PD53338a	PRAME	Gain	3
PD53338a	SOX10	Gain	3
PD53338a	TERT	Amp	11
PD53342a	CCND1	Neutral	2
PD53342a	CDK4	Neutral	2
PD53342a	CRKL	Neutral	2
PD53342a	EP300	Neutral	2
PD53342a	GAB2	Neutral	2
PD53342a	LZTR1	Neutral	2
PD53342a	MDM2	Neutral	2
PD53342a	PAK1	Neutral	2
PD53342a	PRAME	Neutral	2
PD53342a	SOX10	Neutral	2
PD53342a	TERT	Amp	11
PD53343h	CCND1	Neutral	2
PD53343h	CDK4	Neutral	2
PD53343h	CRKL	Neutral	2
PD53343h	EP300	Neutral	2
PD53343h	GAB2	Neutral	2
PD53343h	LZTR1	Neutral	2
PD53343h	MDM2	Neutral	2
PD53343h	PAK1	Neutral	2
PD53343h	PRAME	Neutral	2
PD53343h	SOX10	Neutral	2
PD53343h	TERT	Gain	3
PD53345a	CCND1	Amp	20
PD53345a	CDK4	Neutral	4
PD53345a	CRKL	Amp	8
PD53345a	EP300	Amp	16
PD53345a	GAB2	Amp	14
PD53345a	LZTR1	Amp	8
PD53345a	MDM2	Neutral	4
PD53345a	PAK1	Gain	6
PD53345a	PRAME	Amp	20
PD53345a	SOX10	Amp	20
PD53345a	TERT	Amp	13
PD53347c	CCND1	Amp	10
PD53347c	CDK4	Gain	6
PD53347c	CRKL	Amp	10
PD53347c	EP300	Amp	14
PD53347c	GAB2	Gain	8
PD53347c	LZTR1	Loss	3
PD53347c	MDM2	Gain	6
PD53347c	PAK1	Gain	8
PD53347c	PRAME	Loss	3
PD53347c	SOX10	Amp	20
PD53347c	TERT	Loss	4
PD53348a	CCND1	Amp	9
PD53348a	CDK4	Amp	7
PD53348a	CRKL	Amp	4
PD53348a	EP300	Gain	3
PD53348a	GAB2	Amp	14
PD53348a	LZTR1	Amp	4
PD53348a	MDM2	Amp	5
PD53348a	PAK1	Amp	14
PD53348a	PRAME	Amp	4
PD53348a	SOX10	Gain	3
PD53348a	TERT	Neutral	2
PD53349d	CCND1	Loss	3
PD53349d	CDK4	Gain	5
PD53349d	CRKL	Amp	10
PD53349d	EP300	Amp	11
PD53349d	GAB2	Loss	3
PD53349d	LZTR1	Amp	10
PD53349d	MDM2	Gain	5
PD53349d	PAK1	Loss	3
PD53349d	PRAME	Amp	11
PD53349d	SOX10	Amp	11
PD53349d	TERT	Gain	6
PD53350d	CCND1	Amp	11
PD53350d	CDK4	Gain	5
PD53350d	CRKL	Amp	20
PD53350d	EP300	Neutral	4
PD53350d	GAB2	Amp	13
PD53350d	LZTR1	Amp	20
